sha1,n,splits,cross_split,type,split_a,path_a,class_a,split_b,path_b,class_b,ahash_distance
053c2bdec20390796a8454ae83b647c14ade04c4,2.0,"test,val",True,,,,,,,,
065593bfd02b435290141d4be3b8a034ec2e93a6,2.0,"test,train",True,,,,,,,,
08c79bef293e30458e58c290e6ff26d67fc28b8a,2.0,"test,train",True,,,,,,,,
09b1030d661d31f214919a3c6880189335ee56f2,2.0,"test,train",True,,,,,,,,
0a7e040113f70e3ea05405c178ad746e9d9a532b,2.0,"test,train",True,,,,,,,,
0e91985482f497c4ade0452631904a41e201b60c,2.0,"test,train",True,,,,,,,,
12dadbb59bfcdd456e77e6acaabdd26f60b3f171,2.0,"test,val",True,,,,,,,,
1903b34861b9d8e9568762e0952dc70b0e8ac648,2.0,"test,train",True,,,,,,,,
1946bc9c44a82351df367583d9983db662b0c804,2.0,"test,train",True,,,,,,,,
272291cbd914ff084cd0a00adbe45962617582ee,2.0,"test,val",True,,,,,,,,
28ae60cc7feb25cc452abe5d73dc6cc8b77452bf,2.0,"test,train",True,,,,,,,,
319b1f5e7ca55d4ba99de2ddd73c9d3997898cb3,2.0,"test,train",True,,,,,,,,
31ff6cdd7be4cebe386fb91a6cdf122810b55aa0,2.0,"test,train",True,,,,,,,,
35699fd6a83acac14cf127d8c0d3a7b94f39e5e6,2.0,"test,val",True,,,,,,,,
3578d87a0f07a870a54065291053f209a90a63db,2.0,"test,train",True,,,,,,,,
3a05fe0550717183c48c2b12e048ad8f3c40239e,2.0,"test,train",True,,,,,,,,
3e56e52d0955c3345d8fe06073beaf0cd9c59b2c,2.0,"test,train",True,,,,,,,,
407bdb7eaf56636f7a686ef627a4b6f797fc6365,2.0,"test,val",True,,,,,,,,
4092d21d68409d1bc2765fb099a00e9050a88e7a,2.0,"test,train",True,,,,,,,,
42ed69e7631aee7a9ba007840aa52fba6c1a889a,2.0,"test,train",True,,,,,,,,
48f8aecc468ccc687afe3e852bd25d0ceab7ecee,2.0,"test,train",True,,,,,,,,
4f97f0f0184517dec135df36c09862dc536ebace,2.0,"test,train",True,,,,,,,,
541bc341ba37bc1e9fc75fe92645feca9c695844,2.0,"test,val",True,,,,,,,,
5629cc6498ac92049f1437f994bc0d6f84100bce,2.0,"test,train",True,,,,,,,,
56358dc3b529e3a74bdd6c2a5444ba9bdbbbc76b,2.0,"test,val",True,,,,,,,,
5d5feaea51260714e8814872cf0c2e51eca1360f,2.0,"test,train",True,,,,,,,,
5e37e592cbbb3f476527ed85e7035b3fcbc0de23,2.0,"test,train",True,,,,,,,,
